timestamp,demanda_ejecutado,programacion_diaria,reprogramacion_diaria
2023-01-02 21:30:00,7034.66723,7311.81875,7266.85361
2023-01-02 22:00:00,6916.78898,7284.84971,7261.66037
2023-01-02 22:30:00,6835.56197,7141.5574,6945.82588
2023-01-02 23:00:00,6720.98557,6941.9746,6940.7607
2023-01-02 23:30:00,6567.27714,6736.16412,6553.94262
2023-01-03 00:00:00,6541.62049,6548.39863,6539.74479
2023-01-03 00:30:00,6359.63811,6526.0378,6319.47812
2023-01-03 01:00:00,6335.61502,6422.50167,6309.64586
2023-01-03 01:30:00,6259.63815,6331.41114,6119.77357
2023-01-03 02:00:00,6178.19153,6258.56767,6093.70839
2023-01-03 02:30:00,6123.09743,6201.88337,6005.873
2023-01-03 03:00:00,5981.06019,6170.2368,6002.81082
2023-01-03 03:30:00,6033.34061,6154.88181,5953.69214
2023-01-03 04:00:00,6057.35963,6138.7141,5959.0674
2023-01-03 04:30:00,6000.45621,6147.31432,5982.94552
2023-01-03 05:00:00,6110.45528,6165.74398,5999.92454
2023-01-03 05:30:00,5999.62707,6177.25143,6024.3085
2023-01-03 06:00:00,5986.80159,6204.86392,6067.27172
2023-01-03 06:30:00,6094.11509,6255.89765,6174.85571
2023-01-03 07:00:00,6216.88946,6355.52966,6233.23635
2023-01-03 07:30:00,6442.48542,6536.86091,6458.34004
2023-01-03 08:00:00,6542.83668,6721.48512,6488.56067
2023-01-03 08:30:00,6797.98317,6914.89607,6791.26104
2023-01-03 09:00:00,6938.07201,7088.04472,6830.97651
2023-01-03 09:30:00,6890.98603,7196.34767,7022.54437
2023-01-03 10:00:00,6922.72363,7294.48052,7062.18453
2023-01-03 10:30:00,7062.75209,7342.57606,7242.73008
2023-01-03 11:00:00,7197.37854,7378.99839,7264.74866
2023-01-03 11:30:00,7299.73164,7397.69796,7399.06394
2023-01-03 12:00:00,7327.90499,7392.75042,7412.06922
2023-01-03 12:30:00,7151.06577,7333.74417,7300.11886
2023-01-03 13:00:00,7275.26527,7291.43281,7317.47551
2023-01-03 13:30:00,7205.83833,7269.32845,7246.33542
2023-01-03 14:00:00,7282.91452,7329.02511,7246.86039
2023-01-03 14:30:00,7247.45647,7419.92316,7385.45995
2023-01-03 15:00:00,7328.99472,7422.87818,7377.85077
2023-01-03 15:30:00,7340.05834,7412.50722,7357.5032
2023-01-03 16:00:00,7284.01923,7407.02364,7349.88501
2023-01-03 16:30:00,7159.62124,7352.57365,7249.06497
2023-01-03 17:00:00,7022.04374,7236.81557,7245.90067
2023-01-03 17:30:00,6983.84679,7125.32985,6997.52886
2023-01-03 18:00:00,6870.84669,7046.36715,6973.8856
2023-01-03 18:30:00,6890.5941,7000.66157,7026.71878
2023-01-03 19:00:00,7123.12988,7174.04603,7012.38258
2023-01-03 19:30:00,7228.84652,7275.18727,7291.6799
2023-01-03 20:00:00,7200.4532,7301.93637,7282.65362
2023-01-03 20:30:00,7201.08529,7323.85508,7251.38303
2023-01-03 21:00:00,7121.65959,7322.12018,7239.49827
2023-01-03 21:30:00,7049.90038,7298.4522,7324.851
2023-01-03 22:00:00,6945.57805,7211.98192,7332.32694
2023-01-03 22:30:00,6970.43491,7119.90677,7134.44554
2023-01-03 23:00:00,6708.69734,6966.79568,7118.57191
2023-01-03 23:30:00,6498.30375,6803.81871,6716.45521
2023-01-04 00:00:00,6453.12888,6555.40207,6702.34944
2023-01-04 00:30:00,6362.664,6558.06235,6322.82811
2023-01-04 01:00:00,6264.644,6418.7196,6314.05939
2023-01-04 01:30:00,6144.306,6309.96275,6110.82624
2023-01-04 02:00:00,6127.724,6244.76534,6101.64416
2023-01-04 02:30:00,6068.476,6200.39542,6008.37251
2023-01-04 03:00:00,6000.435,6158.13571,5980.74107
2023-01-04 03:30:00,6095.36,6152.39907,5965.84536
2023-01-04 04:00:00,6090.304,6143.95132,5950.67273
2023-01-04 04:30:00,6060.904,6134.48819,5982.71453
2023-01-04 05:00:00,6119.313,6159.83639,6003.15864
2023-01-04 05:30:00,6124.014,6169.35148,6026.35101
2023-01-04 06:00:00,6068.725,6184.54662,6071.21251
2023-01-04 06:30:00,6157.013,6212.21164,6172.98386
2023-01-04 07:00:00,6226.271,6295.13936,6236.33705
2023-01-04 07:30:00,6397.429,6464.5049,6531.05383
2023-01-04 08:00:00,6642.809,6605.89042,6557.98856
2023-01-04 08:30:00,6939.66765,6809.32203,6939.47295
2023-01-04 09:00:00,7114.76664,7010.97941,6950.82561
2023-01-04 09:30:00,7107.4493,7153.65882,7161.34488
2023-01-04 10:00:00,7274.94651,7296.0718,7200.50176
2023-01-04 10:30:00,7296.17154,7335.53114,7350.87675
2023-01-04 11:00:00,7288.89563,7420.61264,7355.12287
2023-01-04 11:30:00,7483.806,7427.12495,7456.37519
2023-01-04 12:00:00,7459.905,7404.58926,7457.13303
2023-01-04 12:30:00,7441.826,7337.9165,7356.48108
2023-01-04 13:00:00,7376.947,7299.90411,7389.85264
2023-01-04 13:30:00,7331.597,7245.90111,7283.09417
2023-01-04 14:00:00,7367.631,7328.40134,7313.5984
2023-01-04 14:30:00,7469.645,7400.017,7412.21192
2023-01-04 15:00:00,7357.037,7392.32593,7414.094
2023-01-04 15:30:00,7437.219,7385.97036,7392.62634
2023-01-04 16:00:00,7318.658,7373.78881,7366.15271
2023-01-04 16:30:00,7294.575,7328.37625,7259.92375
2023-01-04 17:00:00,7234.123,7223.07356,7287.65665
2023-01-04 17:30:00,7101.547,7101.44346,7040.35065
2023-01-04 18:00:00,7049.646,7014.28905,6999.53255
2023-01-04 18:30:00,7032.543,6947.92115,7061.50031
