timestamp,A,B,C,D,E,F,G
2023-01-01 00:30:00,6166.1569100000015,,,,,,
2023-01-01 01:00:00,6113.939220000001,,,,,,
2023-01-01 01:30:00,6061.390790000003,,,,,,
2023-01-01 02:00:00,5966.480630000002,,,,,,
2023-01-01 02:30:00,5898.889440000002,,,,,,
2023-01-01 03:00:00,5813.495560000001,,,,,,
2023-01-01 03:30:00,5736.64529,5562.18896814,,,,,
2023-01-01 04:00:00,5645.86805,5471.81857857,,,,,
2023-01-01 04:30:00,5629.4107699999995,5455.59487932,,,,,
2023-01-01 05:00:00,5571.283880000001,5397.98225892,,,,,
2023-01-01 05:30:00,5539.095800000001,5366.90306414,,,,,
2023-01-01 06:00:00,5434.671570000001,5263.97046165,,,,,
2023-01-01 06:30:00,5348.2427800000005,5178.89777699,,,,,
2023-01-01 07:00:00,5281.753390000003,5107.12599467,,,,,
2023-01-01 07:30:00,5304.776800000002,5129.89254878,,,,,
2023-01-01 08:00:00,5369.799960000001,5199.34979817,5130.05937084,,,,
2023-01-01 08:30:00,5516.310350000002,5538.33958352,5309.66174994,,,,
2023-01-01 09:00:00,5652.71456,5667.68914015,5444.2054273,,,,
2023-01-01 09:30:00,5776.907260000002,5787.33451902,5560.6072394,,,,
2023-01-01 10:00:00,5873.279630000002,5883.79683879,5658.15289843,,,,
2023-01-01 10:30:00,5925.862670000001,5942.41133436,5711.85465266,,,,
2023-01-01 11:00:00,5989.7444399999995,6006.11984842,5780.1355755,,,,
2023-01-01 11:30:00,6042.288320000001,6063.48995237,5833.10194907,,,,
2023-01-01 12:00:00,6077.677330000001,6095.01180463,5866.43768738,5731.19841,,,
2023-01-01 12:30:00,6090.525180000002,6104.00605189,5873.47845278,5747.1420100000005,,,
2023-01-01 13:00:00,6095.801910000001,6109.0827474,5882.04921516,5750.702979999998,,,
2023-01-01 13:30:00,6072.2017700000015,6088.71171935,5858.95767308,5730.9521,,,
2023-01-01 14:00:00,6045.670960000001,6061.04498274,5829.6096052,5704.15804,,,
2023-01-01 14:30:00,6022.188750000001,6044.22836603,5814.45097439,5686.3089199999995,,,
2023-01-01 15:00:00,6008.08798,6029.49589351,5802.30104869,5673.828229999998,,,
2023-01-01 15:30:00,6033.309920000003,6053.22066122,5826.81046249,5697.557250000003,,,
2023-01-01 16:00:00,5960.464090000002,5981.21443087,5753.56013089,5622.086840000003,,,
2023-01-01 16:30:00,5891.588130000001,5913.98533259,5688.94628129,5557.01832,,,
2023-01-01 17:00:00,5879.81466,5900.66662544,5677.04175662,5546.004679999999,,,
2023-01-01 17:30:00,5923.366730000001,5943.99407107,5722.18968916,5589.7038299999995,,,
2023-01-01 18:00:00,6052.736960000001,6076.08309711,5853.74439846,5794.30852,,,
2023-01-01 18:30:00,6358.334080000002,6380.69448123,6161.74228351,6101.334819999998,,,
2023-01-01 19:00:00,6680.728710000001,6705.38517419,6593.78452417,6528.588610000002,,,
2023-01-01 19:30:00,6763.237479999999,6785.98423573,6680.76028342,6610.901060000001,,,
2023-01-01 20:00:00,6855.334129999998,6877.22228592,6775.2646242,6709.564369999999,,,
2023-01-01 20:30:00,6888.171689999998,6912.33507881,6802.74938298,6735.71012,,,
2023-01-01 21:00:00,6818.492819999998,6840.72684205,6733.05487438,6665.6783799999985,6618.61221,,
2023-01-01 21:30:00,6747.105699999999,6766.57576575,6665.83133547,6593.79143,6548.753059999999,,
2023-01-01 22:00:00,6619.050299999998,6649.09924286,6533.27364717,6466.85106,6426.68498,,
2023-01-01 22:30:00,6524.7073199999995,6560.63992704,6438.05579766,6374.908409999999,6336.660400000001,,
2023-01-01 23:00:00,6345.67108,6378.6835988,6263.26581229,6200.544450000001,6164.040080000001,,
2023-01-01 23:30:00,6193.251390000001,6209.05833791,6121.62478297,6066.605140000001,6014.896310000001,,
2023-01-02 00:00:00,6029.241710000002,6050.84365377,5963.55999708,5888.315420000003,5842.834060000002,,
2023-01-02 00:30:00,5764.406070000001,,,,,,
2023-01-02 01:00:00,5658.344410000002,,,,,,
2023-01-02 01:30:00,5575.540360000001,,,,,,
2023-01-02 02:00:00,5494.171030000001,,,,,,
2023-01-02 02:30:00,5460.781650000001,,,,,,
2023-01-02 03:00:00,5454.02038,,,,,,
2023-01-02 03:30:00,5444.081510000002,,,,,,
2023-01-02 04:00:00,5442.274930000001,,,,,,
2023-01-02 04:30:00,5483.338110000002,,,,,,
2023-01-02 05:00:00,5561.482180000001,,,,,,
2023-01-02 05:30:00,5592.705870000002,,,,,,
2023-01-02 06:00:00,5541.862800000002,,,,,,
2023-01-02 06:30:00,5800.692270000001,,,,,,
2023-01-02 07:00:00,5942.927570000001,,,,,,
2023-01-02 07:30:00,6135.3824700000005,,,,,,
2023-01-02 08:00:00,6391.272060000002,,,,,,
2023-01-02 08:30:00,6646.827890000001,,,,,,
2023-01-02 09:00:00,6766.349999999999,,,,,,
2023-01-02 09:30:00,6925.867640000003,,,,,,
2023-01-02 10:00:00,7010.025660000002,,,,,,
2023-01-02 10:30:00,7143.174279999999,6963.97362,,,,,
2023-01-02 11:00:00,7202.098670000001,7017.936429999999,,,,,
2023-01-02 11:30:00,7265.561660000001,7081.694119999999,,,,,
2023-01-02 12:00:00,7290.368909999999,7107.26802,,,,,
2023-01-02 12:30:00,7269.722930000002,7086.492220000001,,,,,
2023-01-02 13:00:00,7201.186310000001,7021.33177,,,,,
2023-01-02 13:30:00,7165.09829,6975.901629999999,,,,,
2023-01-02 14:00:00,7184.817250000002,7035.169169999998,,,,,
